treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),Sequential (GRU),Hit@10,1655,0.06465256797583081,8.452042668506547e-13,3.6196956859553542e-06,0.0004997501249375312,0.1772397371373127,0.0646525679758308,331,5,0.012616684602913054,9.297246935357202e-12,3.98166525455089e-05,0.006496751624187906,conflict_natural_strict
AIPA (full),AIPA (rule policy),NDCG@10,1655,0.005004029170206739,0.20060313034539326,0.22616949338839865,0.2063968015992004,0.031472281312163786,0.005886766276320954,331,5,0.004099277966334136,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o clarification,NDCG@10,1655,0.0006969322090026466,0.8412266786050678,0.8348399736182226,0.847576211894053,0.0049249711438606476,0.002947764259179836,331,5,0.005951745737081232,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o counterfactual,NDCG@10,1655,-0.00018405743270866293,0.9646342090664933,0.976391800883177,0.9610194902548725,-0.0010900649310280504,-0.0032756181487938185,331,5,0.006459093150606207,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),AIPA w/o persistence,NDCG@10,1655,0.0023077135764103178,0.030801546817751962,0.6981126948381795,0.02848575712143928,0.05313145696523351,0.005225947189237051,331,5,0.0025924472297682013,0.2464123745420157,1.0,0.22788605697151423,conflict_natural_strict
AIPA (full),AIPA w/o relationship,NDCG@10,1655,0.0003761400782351875,0.9266131541910906,0.7089914759959604,0.9280359820089955,0.002264430953552722,-0.0026476574693549693,331,5,0.005838082286803659,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),Adaptive fusion,NDCG@10,1655,-0.007337727581440949,0.09610059238890706,0.43228109209398047,0.10044977511244378,-0.04092769333266298,-0.013074360401967855,331,5,0.0033244105371878444,0.6727041467223493,1.0,0.7031484257871065,conflict_natural_strict
AIPA (full),Conversation-aware,NDCG@10,1655,-0.006558096423558218,0.17709761764090964,0.1806481340715066,0.18690654672663667,-0.033192363437594276,-0.012294155767106907,331,5,0.008000337702217574,1.0,1.0,1.0,conflict_natural_strict
AIPA (full),KBRD-style,NDCG@10,1655,-0.01644955155747942,0.0010568536640140843,0.023127296011734088,0.0014992503748125937,-0.08064440632683122,-0.02411588065096157,331,5,0.004979075778748656,0.010568536640140843,0.2312729601173409,0.014992503748125937,conflict_natural_strict
AIPA (full),LTP-only,NDCG@10,1655,0.056564997396515805,2.1442284896498598e-29,2.850991011793002e-18,0.0004997501249375312,0.28213338732768034,0.11446700924599082,331,5,0.005510653480476269,2.787497036544818e-28,3.706288315330903e-17,0.006496751624187906,conflict_natural_strict
AIPA (full),Naive fusion,NDCG@10,1655,-0.0024864698787295785,0.5519227405280652,0.6122168517483628,0.5617191404297851,-0.014625821946245952,0.0004012376666879536,331,5,0.006562850459265657,1.0,1.0,1.0,conflict_natural_strict
