treatment,control,metric,n,mean_diff,t_p,wilcoxon_p,perm_p,cohen_d,cliffs_delta,n_samples,n_seeds,seed_std_diff,t_p_holm,wilcoxon_p_holm,perm_p_holm,subset
AIPA (full),LTP-only,NDCG@10,512,0.035279398091414865,5.2484504644271525e-06,0.009227624993059912,0.0004997501249375312,0.20344836400914112,0.06252670288085938,256,2,0.015369751223805518,6.822985603755298e-05,0.11995912490977886,0.006496751624187906,conflict_natural_broad
AIPA (full),Naive fusion,NDCG@10,512,0.00966538832208396,0.1058273507638192,0.652742857757939,0.10044977511244378,0.07159905533141227,0.013996124267578125,256,2,0.0035520458643416475,0.8466188061105536,1.0,0.8035982008995503,conflict_natural_broad
AIPA (full),SASRec,NDCG@10,512,0.026941089951939553,0.000397366687887696,0.02964362059225605,0.0004997501249375312,0.15757154191249736,0.046962738037109375,256,2,0.008648867286733228,0.004371033566764656,0.32607982651481654,0.006496751624187906,conflict_natural_broad
AIPA (full),STI-only,NDCG@10,512,0.0030765678862913013,0.6456034674287662,0.8415554973131135,0.6506746626686657,0.020335999714870684,-0.000911712646484375,256,2,0.002873217238907464,1.0,1.0,1.0,conflict_natural_broad
AIPA (full),Sequential (GRU),NDCG@10,512,0.028513247632775823,2.8644779095900836e-05,0.018180462425416755,0.0004997501249375312,0.18659515624047604,0.045879364013671875,256,2,0.008178375413638498,0.00034373734915081004,0.21816554910500108,0.006496751624187906,conflict_natural_broad
AIPA (full),AIPA (rule policy),Hit@10,156,0.0,1.0,1.0,1.0,0.0,0.0,78,2,0.02564102564102564,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o clarification,Hit@10,156,0.00641025641025641,0.5653746239932735,0.8755312312020604,1.0,0.046125927242752884,0.006410256410256415,78,2,0.00641025641025641,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o counterfactual,Hit@10,156,-0.01282051282051282,0.6844556855850852,0.7814220049210325,0.8330834582708646,-0.03259850958815003,-0.01282051282051283,78,2,0.01282051282051282,1.0,1.0,1.0,conflict_synthetic
AIPA (full),AIPA w/o persistence,Hit@10,156,0.0,,,,,,78,2,0.0,,,,conflict_synthetic
AIPA (full),AIPA w/o relationship,Hit@10,156,-0.00641025641025641,0.8356002363834433,0.8890654865247724,1.0,-0.016643239451990668,-0.0064102564102563875,78,2,0.019230769230769232,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Adaptive fusion,Hit@10,156,-0.038461538461538464,0.2581525160412264,0.41518220722520893,0.34182908545727136,-0.09086791776300988,-0.038461538461538464,78,2,0.025641025641025637,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Conversation-aware,Hit@10,156,0.10256410256410256,0.0015045436733584683,0.028090697435844213,0.0034982508745627187,0.25872103161461396,0.10256410256410257,78,2,0.012820512820512824,0.015045436733584683,0.28090697435844214,0.03498250874562719,conflict_synthetic
AIPA (full),KBRD-style,Hit@10,156,-0.05128205128205128,0.19531032582828575,0.3020853867878275,0.2463768115942029,-0.10413496036858046,-0.051282051282051266,78,2,0.025641025641025644,1.0,1.0,1.0,conflict_synthetic
AIPA (full),LTP-only,Hit@10,156,0.1794871794871795,1.0236317646208484e-07,0.00016807840669286485,0.0004997501249375312,0.44714883867193134,0.1794871794871795,78,2,0.0,1.228358117545018e-06,0.0020169408803143783,0.006496751624187906,conflict_synthetic
AIPA (full),Naive fusion,Hit@10,156,-0.038461538461538464,0.2581525160412264,0.41518220722520893,0.3423288355822089,-0.09086791776300988,-0.038461538461538464,78,2,0.0,1.0,1.0,1.0,conflict_synthetic
AIPA (full),SASRec,Hit@10,156,0.16025641025641027,3.7632225143807447e-06,0.0008314211227443902,0.0004997501249375312,0.3840174309299462,0.16025641025641024,78,2,0.006410256410256401,4.1395447658188194e-05,0.009145632350188292,0.006496751624187906,conflict_synthetic
AIPA (full),STI-only,Hit@10,156,-0.02564102564102564,0.4159690597461883,0.5789406305603332,0.5387306346826587,-0.06530186569674173,-0.025641025641025633,78,2,0.02564102564102564,1.0,1.0,1.0,conflict_synthetic
AIPA (full),Sequential (GRU),Hit@10,156,0.1858974358974359,5.539901841082878e-08,0.00010581523967811277,0.0004997501249375312,0.45734417916106596,0.1858974358974359,78,2,0.006410256410256415,7.201872393407741e-07,0.001375598115815466,0.006496751624187906,conflict_synthetic
